City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Tual,ID,2021-10-21 19:12:34,-5.6667,132.75,82.2,74,71,6.51
231,Trairi,BR,2021-10-21 19:10:55,-3.2778,-39.2689,84.07,63,100,11.45
232,Goderich,CA,2021-10-21 19:12:34,43.7501,-81.7165,63.91,90,100,17.76
233,Anadyr,RU,2021-10-21 19:12:25,64.75,177.4833,14.04,94,95,7.96
234,Hamilton,US,2021-10-21 19:12:35,39.1834,-84.5333,74.03,60,20,1.01
235,Mehamn,NO,2021-10-21 19:12:36,71.0357,27.8492,35.78,77,100,28.66
236,Quelimane,MZ,2021-10-21 19:12:36,-17.8786,36.8883,71.71,69,7,7.23
237,San Vicente,AR,2021-10-21 19:12:36,-26.6167,-54.1333,78.94,32,66,3.31
238,Semirom,IR,2021-10-21 19:12:37,31.4167,51.5667,43.68,63,4,5.95
239,San Patricio,US,2021-10-21 19:12:37,28.017,-97.5169,88.02,50,10,5.84
240,Rio Brilhante,BR,2021-10-21 19:12:38,-21.8019,-54.5464,86.2,37,6,3.42
241,Te Anau,NZ,2021-10-21 19:12:38,-45.4167,167.7167,41.27,92,46,0.51
242,Tame,CO,2021-10-21 19:12:38,6.461,-71.73,89.74,48,43,5.88
243,Boueni,YT,2021-10-21 19:12:39,-12.9025,45.0761,78.78,80,2,11.48
244,Inhambane,MZ,2021-10-21 19:12:39,-23.865,35.3833,71.58,73,20,8.05
245,California City,US,2021-10-21 19:09:16,35.1258,-117.9859,77.34,18,1,1.99
246,Le Port,RE,2021-10-21 19:12:39,-20.9373,55.2919,71.62,76,0,5.21
247,Yenagoa,NG,2021-10-21 19:12:40,4.9247,6.2642,76.93,91,100,6.22
248,Kimbe,PG,2021-10-21 19:12:40,-5.5502,150.1429,74.61,94,100,4.52
249,Benguela,AO,2021-10-21 19:12:41,-12.5763,13.4055,75.97,78,1,5.99
250,Ostrovnoy,RU,2021-10-21 19:12:41,68.0531,39.5131,33.71,80,100,17.2
251,Waitara,NZ,2021-10-21 19:12:42,-38.925,174.25,55.0,78,100,9.31
252,Turukhansk,RU,2021-10-21 19:12:42,65.8167,87.9833,36.45,89,100,14.63
253,Sao Jose Da Coroa Grande,BR,2021-10-21 19:12:43,-8.8978,-35.1478,81.48,76,24,14.88
254,Asau,RO,2021-10-21 19:12:43,46.4333,26.4,59.92,51,62,8.77
255,Shagonar,RU,2021-10-21 19:12:43,51.5333,92.8,36.95,62,69,1.16
256,Harper,LR,2021-10-21 19:12:02,4.375,-7.7169,77.94,86,96,8.41
257,Flinders,AU,2021-10-21 19:12:44,-34.5833,150.8552,61.21,88,71,2.8
258,Fort Collins,US,2021-10-21 19:12:44,40.5853,-105.0844,69.39,36,1,3.0
259,Miraflores,MX,2021-10-21 19:12:45,19.2167,-98.8083,71.02,61,100,3.47
260,Severnyy,RU,2021-10-21 19:12:45,50.677,36.5532,53.64,71,60,15.66
261,Yulara,AU,2021-10-21 19:11:44,-25.2406,130.9889,67.84,24,0,9.22
262,Starosubkhangulovo,RU,2021-10-21 19:12:46,53.1031,57.4423,32.86,96,100,14.41
263,Madras,IN,2021-10-21 19:11:50,13.0878,80.2785,85.98,74,40,6.91
264,Erzin,TR,2021-10-21 19:12:46,36.9559,36.2,59.72,33,0,4.09
265,Kabanjahe,ID,2021-10-21 19:12:47,3.1001,98.4908,63.88,95,100,2.3
266,Aginskoye,RU,2021-10-21 19:12:47,51.1,114.53,29.77,79,0,2.98
267,Cabo San Lucas,MX,2021-10-21 19:12:47,22.8909,-109.9124,88.61,70,40,4.0
268,Zhigansk,RU,2021-10-21 19:12:48,66.7697,123.3711,29.19,82,61,20.29
269,Palpa,PE,2021-10-21 19:12:48,-14.5336,-75.1856,85.89,29,3,12.95
270,Pevek,RU,2021-10-21 19:12:48,69.7008,170.3133,12.92,90,100,14.2
271,Vardo,NO,2021-10-21 19:12:49,70.3705,31.1107,35.58,87,90,31.07
272,Sinjar,IQ,2021-10-21 19:12:50,36.3209,41.8754,68.4,25,0,4.7
273,Shumskiy,RU,2021-10-21 19:12:50,54.8318,99.1328,35.91,67,66,3.44
274,Srandakan,ID,2021-10-21 19:12:51,-7.9386,110.2506,62.73,87,100,6.06
275,Tinos,GR,2021-10-21 19:12:51,37.5375,25.1634,65.82,63,0,0.0
276,Alugan,PH,2021-10-21 19:12:52,12.2188,125.4808,80.46,84,98,8.01
277,Dali,CN,2021-10-21 19:12:52,25.7,100.1833,57.4,99,100,1.74
278,Vilyuysk,RU,2021-10-21 19:12:52,63.7553,121.6247,35.73,89,66,10.83
279,Hambantota,LK,2021-10-21 19:11:53,6.1241,81.1185,79.32,85,44,11.39
280,Eureka,US,2021-10-21 19:12:53,40.8021,-124.1637,74.01,68,100,16.37
281,Geraldton,AU,2021-10-21 19:12:53,-28.7667,114.6,57.61,94,90,4.61
282,Fukue,JP,2021-10-21 19:12:54,32.6881,128.8419,64.8,59,100,18.77
283,Bac Lieu,VN,2021-10-21 19:12:54,9.285,105.7244,79.23,83,100,1.32
284,Natal,BR,2021-10-21 19:08:14,-5.795,-35.2094,86.65,66,20,16.11
285,Avera,US,2021-10-21 19:12:55,33.194,-82.5271,80.47,47,33,8.99
286,Sao Joao Da Barra,BR,2021-10-21 19:12:55,-21.6403,-41.0511,69.89,75,78,8.95
287,Macomb,US,2021-10-21 19:08:23,40.4592,-90.6718,53.51,76,90,20.71
288,Hualmay,PE,2021-10-21 19:12:56,-11.0964,-77.6139,68.58,70,24,9.71
289,Chuy,UY,2021-10-21 19:12:56,-33.6971,-53.4616,66.09,59,12,9.33
290,North Platte,US,2021-10-21 19:08:12,41.1239,-100.7654,57.99,51,1,1.01
291,Marsa Matruh,EG,2021-10-21 19:12:57,31.3525,27.2453,68.9,63,0,5.93
292,Tilichiki,RU,2021-10-21 19:12:57,60.4667,166.1,2.34,93,54,5.97
293,Lima,PE,2021-10-21 19:08:06,-12.0432,-77.0282,67.14,72,40,12.66
