City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Mar Del Plata,AR,-38.0023,-57.5575,75.22,90,0,10.0,clear sky
243,Parabel,RU,58.6978,81.4825,25.16,89,8,8.66,clear sky
244,Asau,RO,46.4333,26.4,47.75,60,11,2.84,light rain
245,Tuatapere,NZ,-46.1333,167.6833,49.24,94,46,3.67,scattered clouds
246,Urusha,RU,54.05,122.9,29.19,74,37,3.11,scattered clouds
247,Vilhena,BR,-12.7406,-60.1458,82.08,58,100,3.85,overcast clouds
248,Esperance,AU,-33.8667,121.9,56.21,61,86,23.73,overcast clouds
249,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,81,20,18.41,few clouds
250,Vila Do Maio,CV,15.1333,-23.2167,83.19,75,83,16.98,broken clouds
251,Qaqortoq,GL,60.7167,-46.0333,36.1,68,0,3.15,clear sky
252,Savalou,BJ,7.9281,1.9756,79.2,80,99,6.85,moderate rain
253,Miracatu,BR,-24.2814,-47.4597,70.14,100,100,1.66,moderate rain
254,Mount Isa,AU,-20.7333,139.5,82.17,61,75,6.91,light rain
255,Aleksandrov Gay,RU,50.147,48.5704,38.77,43,43,11.77,scattered clouds
256,San Patricio,US,28.017,-97.5169,88.21,18,42,26.11,scattered clouds
257,Port-Gentil,GA,-0.7193,8.7815,78.33,82,83,13.65,broken clouds
258,Xining,CN,36.6167,101.7667,34.61,79,29,1.48,scattered clouds
259,Hualmay,PE,-11.0964,-77.6139,69.69,69,22,11.39,few clouds
260,Fortuna,US,40.5982,-124.1573,64.92,68,75,3.0,broken clouds
261,Tommot,RU,58.9564,126.2925,23.95,81,99,2.95,overcast clouds
262,Smithers,CA,54.7804,-127.1743,41.32,81,75,9.22,broken clouds
263,Lakes Entrance,AU,-37.8811,147.981,50.16,60,88,5.88,overcast clouds
264,Kahului,US,20.8947,-156.47,78.06,74,20,0.0,few clouds
265,Adrar,MR,20.5022,-10.0711,79.14,39,35,17.67,scattered clouds
266,Gat,IL,31.61,34.7642,72.39,60,0,7.29,clear sky
267,Kargil,IN,34.5667,76.1,31.42,54,3,0.4,clear sky
268,Khash,IR,28.2211,61.2158,64.15,37,67,1.72,broken clouds
269,Cidreira,BR,-30.1811,-50.2056,75.92,54,5,9.33,clear sky
270,Sao Mateus Do Sul,BR,-25.8742,-50.3828,79.0,45,92,2.68,overcast clouds
271,Mersing,MY,2.4312,103.8405,79.34,86,6,1.59,clear sky
272,Fukue,JP,32.6881,128.8419,67.24,54,0,11.63,clear sky
273,Guangyuan,CN,32.442,105.823,55.06,86,100,3.33,overcast clouds
274,Sainte-Marie,RE,-20.8968,55.5496,73.56,73,0,11.5,clear sky
275,Hami,CN,42.8,93.45,49.35,33,0,2.86,clear sky
276,Nelson Bay,AU,-32.7167,152.15,64.0,97,100,3.94,overcast clouds
277,Bandarbeyla,SO,9.4942,50.8122,78.94,77,0,11.36,clear sky
278,Ngunguru,NZ,-35.6167,174.5,57.16,78,100,3.58,light rain
279,Ancud,CL,-41.8697,-73.8203,66.42,69,51,8.84,broken clouds
280,Bayan,CN,46.0833,127.4,35.92,85,4,5.97,clear sky
281,Magadan,RU,59.5667,150.8,24.42,79,100,6.13,overcast clouds
282,Talara,PE,-4.5772,-81.2719,74.16,64,0,18.41,clear sky
283,Silver City,US,32.7701,-108.2803,53.56,25,1,10.0,clear sky
284,Kangasala,FI,61.4638,24.076,45.14,95,100,5.39,overcast clouds
285,Korla,CN,41.7597,86.1469,49.01,41,94,2.73,overcast clouds
286,San Pedro,PH,14.35,121.0167,79.36,81,50,5.41,scattered clouds
287,Iquique,CL,-20.2208,-70.1431,66.24,65,12,7.9,few clouds
288,Nikolayevsk-Na-Amure,RU,53.1406,140.73,36.63,98,97,4.83,overcast clouds
289,Codo,BR,-4.4553,-43.8856,97.95,31,55,1.88,broken clouds
290,Juegang,CN,32.3174,121.1855,59.99,59,87,7.87,light rain
291,Mutoko,ZW,-17.397,32.2268,66.88,62,19,11.86,few clouds
292,Gamba,GA,-2.65,10.0,76.21,87,100,7.14,overcast clouds
293,Lompoc,US,34.6391,-120.4579,76.41,48,1,13.8,clear sky
294,Grand Gaube,MU,-20.0064,57.6608,72.37,69,0,1.01,clear sky
295,Pitimbu,BR,-7.4706,-34.8086,86.59,64,20,14.03,few clouds
296,Masallatah,LY,32.6167,14.0,68.85,74,27,14.41,scattered clouds
297,Cayenne,GF,4.9333,-52.3333,89.64,80,75,5.01,broken clouds
298,Sorong,ID,-0.8833,131.25,79.3,80,91,2.57,overcast clouds
299,Boa Vista,BR,2.8197,-60.6733,89.58,55,75,5.75,moderate rain
300,Neuquen,AR,-38.9516,-68.0591,84.33,14,60,4.32,broken clouds
301,Kayunga,UG,0.7025,32.8886,64.98,95,72,3.65,light rain
302,Camacha,PT,33.0833,-16.3333,68.76,73,40,9.22,scattered clouds
303,Sebezh,RU,56.2955,28.4654,45.81,91,100,13.65,moderate rain
304,Svetlaya,RU,46.5389,138.3297,45.03,67,99,6.98,overcast clouds
305,Dolores,AR,-36.3132,-57.6792,90.3,35,7,5.53,clear sky
306,Belmonte,BR,-15.8631,-38.8828,81.1,67,32,10.89,scattered clouds
